#FormatVersion 1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#Precinct,Precinct ID,Precinct Reporting,Registered Voters,REP Ballots Cast,DEM Ballots Cast,NON Ballots Cast,Turnout Percentage,Contest Title,Contest ID,Contest Party,Choice Name,Choice ID,Choice Party,Total Votes,Total Overvotes,Total Undervotes,Total Invalid Votes,Absentee Voting Votes,Absentee Voting Overvotes,Absentee Voting Undervotes,Absentee Voting Invalid Votes,Early Voting Votes,Early Voting Overvotes,Early Voting Undervotes,Early Voting Invalid Votes,Election Day Voting Votes,Election Day Voting Overvotes,Election Day Voting Undervotes,Election Day Voting Invalid Votes
105,4,Reporting         ,1209,302,29,0,27.38,"United States Representative, District 17",14,DEM,Mary Jo Woods,1,DEM,27,0,2,0,2,0,1,0,12,0,0,0,13,0,1,0
105,4,Reporting         ,1209,302,29,0,27.38,Governor,12,DEM,Michael Cooper,3,DEM,0,0,2,0,0,0,1,0,0,0,0,0,0,0,1,0
105,4,Reporting         ,1209,302,29,0,27.38,Governor,12,DEM,Beto O'Rourke,2,DEM,24,0,2,0,2,0,1,0,9,0,0,0,13,0,1,0
105,4,Reporting         ,1209,302,29,0,27.38,Governor,12,DEM,Inocencio (Inno) Barrientez,1,DEM,0,0,2,0,0,0,1,0,0,0,0,0,0,0,1,0
105,4,Reporting         ,1209,302,29,0,27.38,Governor,12,DEM,Joy Diaz,4,DEM,3,0,2,0,0,0,1,0,3,0,0,0,0,0,1,0
105,4,Reporting         ,1209,302,29,0,27.38,Governor,12,DEM,Rich Wakeland,5,DEM,0,0,2,0,0,0,1,0,0,0,0,0,0,0,1,0
105,4,Reporting         ,1209,302,29,0,27.38,Lieutenant Governor,23,DEM,Michelle Beckley,3,DEM,6,0,2,0,1,0,1,0,4,0,0,0,1,0,1,0
105,4,Reporting         ,1209,302,29,0,27.38,Lieutenant Governor,23,DEM,Carla Brailey,2,DEM,10,0,2,0,1,0,1,0,6,0,0,0,3,0,1,0
105,4,Reporting         ,1209,302,29,0,27.38,Lieutenant Governor,23,DEM,Mike Collier,1,DEM,11,0,2,0,0,0,1,0,2,0,0,0,9,0,1,0
105,4,Reporting         ,1209,302,29,0,27.38,Attorney General,33,DEM,Lee Merritt,4,DEM,5,0,2,0,1,0,1,0,3,0,0,0,1,0,1,0
105,4,Reporting         ,1209,302,29,0,27.38,Attorney General,33,DEM,Mike Fields,5,DEM,2,0,2,0,0,0,1,0,1,0,0,0,1,0,1,0
105,4,Reporting         ,1209,302,29,0,27.38,Attorney General,33,DEM,Joe Jaworski,1,DEM,12,0,2,0,1,0,1,0,2,0,0,0,9,0,1,0
105,4,Reporting         ,1209,302,29,0,27.38,Attorney General,33,DEM,"S. ""TBone"" Raynor",3,DEM,2,0,2,0,0,0,1,0,2,0,0,0,0,0,1,0
105,4,Reporting         ,1209,302,29,0,27.38,Attorney General,33,DEM,Rochelle Mercedes Garza,2,DEM,6,0,2,0,0,0,1,0,4,0,0,0,2,0,1,0
105,4,Reporting         ,1209,302,29,0,27.38,Comptroller of Public Accounts,7,DEM,Angel Luis Vega,3,DEM,6,0,2,0,0,0,1,0,4,0,0,0,2,0,1,0
105,4,Reporting         ,1209,302,29,0,27.38,Comptroller of Public Accounts,7,DEM,Janet T. Dudding,1,DEM,12,0,2,0,0,0,1,0,5,0,0,0,7,0,1,0
105,4,Reporting         ,1209,302,29,0,27.38,Comptroller of Public Accounts,7,DEM,Tim Mahoney,2,DEM,9,0,2,0,2,0,1,0,3,0,0,0,4,0,1,0
105,4,Reporting         ,1209,302,29,0,27.38,Commissioner of the General Land Office,48,DEM,Jinny Suh,4,DEM,4,0,1,0,0,0,1,0,2,0,0,0,2,0,0,0
105,4,Reporting         ,1209,302,29,0,27.38,Commissioner of the General Land Office,48,DEM,Michael Lange,2,DEM,8,0,1,0,2,0,1,0,3,0,0,0,3,0,0,0
105,4,Reporting         ,1209,302,29,0,27.38,Commissioner of the General Land Office,48,DEM,Jay Kleberg,3,DEM,8,0,1,0,0,0,1,0,1,0,0,0,7,0,0,0
105,4,Reporting         ,1209,302,29,0,27.38,Commissioner of the General Land Office,48,DEM,Sandragrace Martinez,1,DEM,8,0,1,0,0,0,1,0,6,0,0,0,2,0,0,0
105,4,Reporting         ,1209,302,29,0,27.38,Commissioner of Agriculture,41,DEM,Susan Hays,2,DEM,27,0,1,0,2,0,1,0,12,0,0,0,13,0,0,0
105,4,Reporting         ,1209,302,29,0,27.38,Commissioner of Agriculture,41,DEM,Ed Ireson,1,DEM,1,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0
