"Box 101" ,90 ,"Justice Supreme Court P8" ,10 ,"Brett Busby" ,"REP" ,"EV Mail" ,61 ,
"Box 101" ,90 ,"Justice Supreme Court P8" ,10 ,"Brett Busby" ,"REP" ,"Provisional" ,0 ,
"Box 101" ,90 ,"Justice Supreme Court P8" ,10 ,"Brett Busby" ,"REP" ,"Total" ,1057 ,
"Box 101" ,90 ,"Justice Supreme Court P8" ,20 ,"Gisela D. Triana" ,"DEM" ,"Election Day" ,64 ,
"Box 101" ,90 ,"Justice Supreme Court P8" ,20 ,"Gisela D. Triana" ,"DEM" ,"Early Voting" ,440 ,
"Box 101" ,90 ,"Justice Supreme Court P8" ,20 ,"Gisela D. Triana" ,"DEM" ,"EV Mail" ,113 ,
"Box 101" ,90 ,"Justice Supreme Court P8" ,20 ,"Gisela D. Triana" ,"DEM" ,"Provisional" ,0 ,
"Box 101" ,90 ,"Justice Supreme Court P8" ,20 ,"Gisela D. Triana" ,"DEM" ,"Total" ,617 ,
"Box 101" ,90 ,"Justice Supreme Court P8" ,30 ,"Tom Oxford" ,"LIB" ,"Election Day" ,7 ,
"Box 101" ,90 ,"Justice Supreme Court P8" ,30 ,"Tom Oxford" ,"LIB" ,"Early Voting" ,16 ,
"Box 101" ,90 ,"Justice Supreme Court P8" ,30 ,"Tom Oxford" ,"LIB" ,"EV Mail" ,0 ,
"Box 101" ,90 ,"Justice Supreme Court P8" ,30 ,"Tom Oxford" ,"LIB" ,"Provisional" ,0 ,
"Box 101" ,90 ,"Justice Supreme Court P8" ,30 ,"Tom Oxford" ,"LIB" ,"Total" ,23 ,
"Box 101" ,100 ,"Criminal Appeals Jdg P3" ,10 ,"Bert Richardson" ,"REP" ,"Election Day" ,159 ,
"Box 101" ,100 ,"Criminal Appeals Jdg P3" ,10 ,"Bert Richardson" ,"REP" ,"Early Voting" ,843 ,
"Box 101" ,100 ,"Criminal Appeals Jdg P3" ,10 ,"Bert Richardson" ,"REP" ,"EV Mail" ,61 ,
"Box 101" ,100 ,"Criminal Appeals Jdg P3" ,10 ,"Bert Richardson" ,"REP" ,"Provisional" ,0 ,
"Box 101" ,100 ,"Criminal Appeals Jdg P3" ,10 ,"Bert Richardson" ,"REP" ,"Total" ,1063 ,
"Box 101" ,100 ,"Criminal Appeals Jdg P3" ,20 ,"E. Davis Frizell" ,"DEM" ,"Election Day" ,68 ,
"Box 101" ,100 ,"Criminal Appeals Jdg P3" ,20 ,"E. Davis Frizell" ,"DEM" ,"Early Voting" ,441 ,
"Box 101" ,100 ,"Criminal Appeals Jdg P3" ,20 ,"E. Davis Frizell" ,"DEM" ,"EV Mail" ,112 ,
"Box 101" ,100 ,"Criminal Appeals Jdg P3" ,20 ,"E. Davis Frizell" ,"DEM" ,"Provisional" ,0 ,
"Box 101" ,100 ,"Criminal Appeals Jdg P3" ,20 ,"E. Davis Frizell" ,"DEM" ,"Total" ,621 ,
"Box 101" ,110 ,"Criminal Appeals Jdg P4" ,10 ,"Kevin Patrick Yeary" ,"REP" ,"Election Day" ,163 ,
"Box 101" ,110 ,"Criminal Appeals Jdg P4" ,10 ,"Kevin Patrick Yeary" ,"REP" ,"Early Voting" ,855 ,
"Box 101" ,110 ,"Criminal Appeals Jdg P4" ,10 ,"Kevin Patrick Yeary" ,"REP" ,"EV Mail" ,62 ,
"Box 101" ,110 ,"Criminal Appeals Jdg P4" ,10 ,"Kevin Patrick Yeary" ,"REP" ,"Provisional" ,0 ,
"Box 101" ,110 ,"Criminal Appeals Jdg P4" ,10 ,"Kevin Patrick Yeary" ,"REP" ,"Total" ,1080 ,
"Box 101" ,110 ,"Criminal Appeals Jdg P4" ,20 ,"Tina Clinton" ,"DEM" ,"Election Day" ,65 ,
"Box 101" ,110 ,"Criminal Appeals Jdg P4" ,20 ,"Tina Clinton" ,"DEM" ,"Early Voting" ,431 ,
"Box 101" ,110 ,"Criminal Appeals Jdg P4" ,20 ,"Tina Clinton" ,"DEM" ,"EV Mail" ,111 ,
"Box 101" ,110 ,"Criminal Appeals Jdg P4" ,20 ,"Tina Clinton" ,"DEM" ,"Provisional" ,0 ,
"Box 101" ,110 ,"Criminal Appeals Jdg P4" ,20 ,"Tina Clinton" ,"DEM" ,"Total" ,607 ,
"Box 101" ,120 ,"Criminal Appeals Jdg P9" ,10 ,"David Newell" ,"REP" ,"Election Day" ,161 ,
"Box 101" ,120 ,"Criminal Appeals Jdg P9" ,10 ,"David Newell" ,"REP" ,"Early Voting" ,851 ,
"Box 101" ,120 ,"Criminal Appeals Jdg P9" ,10 ,"David Newell" ,"REP" ,"EV Mail" ,63 ,
"Box 101" ,120 ,"Criminal Appeals Jdg P9" ,10 ,"David Newell" ,"REP" ,"Provisional" ,0 ,
"Box 101" ,120 ,"Criminal Appeals Jdg P9" ,10 ,"David Newell" ,"REP" ,"Total" ,1075 ,
"Box 101" ,120 ,"Criminal Appeals Jdg P9" ,20 ,"Brandon Birmingham" ,"DEM" ,"Election Day" ,67 ,
"Box 101" ,120 ,"Criminal Appeals Jdg P9" ,20 ,"Brandon Birmingham" ,"DEM" ,"Early Voting" ,424 ,
"Box 101" ,120 ,"Criminal Appeals Jdg P9" ,20 ,"Brandon Birmingham" ,"DEM" ,"EV Mail" ,110 ,
"Box 101" ,120 ,"Criminal Appeals Jdg P9" ,20 ,"Brandon Birmingham" ,"DEM" ,"Provisional" ,0 ,
"Box 101" ,120 ,"Criminal Appeals Jdg P9" ,20 ,"Brandon Birmingham" ,"DEM" ,"Total" ,601 ,
"Box 101" ,130 ,"State Senator D21" ,10 ,"Frank Pomeroy" ,"REP" ,"Election Day" ,153 ,
"Box 101" ,130 ,"State Senator D21" ,10 ,"Frank Pomeroy" ,"REP" ,"Early Voting" ,814 ,
"Box 101" ,130 ,"State Senator D21" ,10 ,"Frank Pomeroy" ,"REP" ,"EV Mail" ,53 ,
"Box 101" ,130 ,"State Senator D21" ,10 ,"Frank Pomeroy" ,"REP" ,"Provisional" ,0 ,
"Box 101" ,130 ,"State Senator D21" ,10 ,"Frank Pomeroy" ,"REP" ,"Total" ,1020 ,
"Box 101" ,130 ,"State Senator D21" ,20 ,"Judith Zaffirini" ,"DEM" ,"Election Day" ,74 ,
"Box 101" ,130 ,"State Senator D21" ,20 ,"Judith Zaffirini" ,"DEM" ,"Early Voting" ,486 ,
"Box 101" ,130 ,"State Senator D21" ,20 ,"Judith Zaffirini" ,"DEM" ,"EV Mail" ,124 ,
"Box 101" ,130 ,"State Senator D21" ,20 ,"Judith Zaffirini" ,"DEM" ,"Provisional" ,0 ,
"Box 101" ,130 ,"State Senator D21" ,20 ,"Judith Zaffirini" ,"DEM" ,"Total" ,684 ,
"Box 101" ,140 ,"State Representative 44" ,10 ,"John Kuempel" ,"REP" ,"Election Day" ,162 ,
"Box 101" ,140 ,"State Representative 44" ,10 ,"John Kuempel" ,"REP" ,"Early Voting" ,848 ,
"Box 101" ,140 ,"State Representative 44" ,10 ,"John Kuempel" ,"REP" ,"EV Mail" ,62 ,
"Box 101" ,140 ,"State Representative 44" ,10 ,"John Kuempel" ,"REP" ,"Provisional" ,0 ,
"Box 101" ,140 ,"State Representative 44" ,10 ,"John Kuempel" ,"REP" ,"Total" ,1072 ,
"Box 101" ,140 ,"State Representative 44" ,20 ,"Robert Bohmfalk" ,"DEM" ,"Election Day" ,57 ,
"Box 101" ,140 ,"State Representative 44" ,20 ,"Robert Bohmfalk" ,"DEM" ,"Early Voting" ,409 ,
"Box 101" ,140 ,"State Representative 44" ,20 ,"Robert Bohmfalk" ,"DEM" ,"EV Mail" ,110 ,
"Box 101" ,140 ,"State Representative 44" ,20 ,"Robert Bohmfalk" ,"DEM" ,"Provisional" ,0 ,
"Box 101" ,140 ,"State Representative 44" ,20 ,"Robert Bohmfalk" ,"DEM" ,"Total" ,576 ,
"Box 101" ,140 ,"State Representative 44" ,30 ,"Julian Mardock" ,"LIB" ,"Election Day" ,10 ,
"Box 101" ,140 ,"State Representative 44" ,30 ,"Julian Mardock" ,"LIB" ,"Early Voting" ,28 ,
"Box 101" ,140 ,"State Representative 44" ,30 ,"Julian Mardock" ,"LIB" ,"EV Mail" ,3 ,
"Box 101" ,140 ,"State Representative 44" ,30 ,"Julian Mardock" ,"LIB" ,"Provisional" ,0 ,
"Box 101" ,140 ,"State Representative 44" ,30 ,"Julian Mardock" ,"LIB" ,"Total" ,41 ,
"Box 101" ,150 ,"Chief Justice 4 Court Appeals" ,10 ,"Renee Yanta" ,"REP" ,"Election Day" ,154 ,
"Box 101" ,150 ,"Chief Justice 4 Court Appeals" ,10 ,"Renee Yanta" ,"REP" ,"Early Voting" ,836 ,
"Box 101" ,150 ,"Chief Justice 4 Court Appeals" ,10 ,"Renee Yanta" ,"REP" ,"EV Mail" ,60 ,
"Box 101" ,150 ,"Chief Justice 4 Court Appeals" ,10 ,"Renee Yanta" ,"REP" ,"Provisional" ,0 ,
"Box 101" ,150 ,"Chief Justice 4 Court Appeals" ,10 ,"Renee Yanta" ,"REP" ,"Total" ,1050 ,
"Box 101" ,150 ,"Chief Justice 4 Court Appeals" ,20 ,"Rebeca Martinez" ,"DEM" ,"Election Day" ,73 ,
"Box 101" ,150 ,"Chief Justice 4 Court Appeals" ,20 ,"Rebeca Martinez" ,"DEM" ,"Early Voting" ,456 ,
"Box 101" ,150 ,"Chief Justice 4 Court Appeals" ,20 ,"Rebeca Martinez" ,"DEM" ,"EV Mail" ,114 ,
"Box 101" ,150 ,"Chief Justice 4 Court Appeals" ,20 ,"Rebeca Martinez" ,"DEM" ,"Provisional" ,0 ,
"Box 101" ,150 ,"Chief Justice 4 Court Appeals" ,20 ,"Rebeca Martinez" ,"DEM" ,"Total" ,643 ,
"Box 101" ,160 ,"District Attorney D81" ,10 ,"Audrey Gossett Louis" ,"REP" ,"Election Day" ,204 ,
"Box 101" ,160 ,"District Attorney D81" ,10 ,"Audrey Gossett Louis" ,"REP" ,"Early Voting" ,1051 ,
"Box 101" ,160 ,"District Attorney D81" ,10 ,"Audrey Gossett Louis" ,"REP" ,"EV Mail" ,100 ,
"Box 101" ,160 ,"District Attorney D81" ,10 ,"Audrey Gossett Louis" ,"REP" ,"Provisional" ,0 ,
"Box 101" ,160 ,"District Attorney D81" ,10 ,"Audrey Gossett Louis" ,"REP" ,"Total" ,1355 ,
"Box 101" ,170 ,"County Attorney" ,10 ,"Tom Caldwell" ,"REP" ,"Election Day" ,196 ,
"Box 101" ,170 ,"County Attorney" ,10 ,"Tom Caldwell" ,"REP" ,"Early Voting" ,1023 ,
"Box 101" ,170 ,"County Attorney" ,10 ,"Tom Caldwell" ,"REP" ,"EV Mail" ,93 ,
"Box 101" ,170 ,"County Attorney" ,10 ,"Tom Caldwell" ,"REP" ,"Provisional" ,0 ,
"Box 101" ,170 ,"County Attorney" ,10 ,"Tom Caldwell" ,"REP" ,"Total" ,1312 ,
"Box 101" ,180 ,"Sheriff" ,10 ,"Jim Stewart" ,"REP" ,"Election Day" ,166 ,
"Box 101" ,180 ,"Sheriff" ,10 ,"Jim Stewart" ,"REP" ,"Early Voting" ,847 ,
"Box 101" ,180 ,"Sheriff" ,10 ,"Jim Stewart" ,"REP" ,"EV Mail" ,68 ,
"Box 101" ,180 ,"Sheriff" ,10 ,"Jim Stewart" ,"REP" ,"Provisional" ,0 ,
"Box 101" ,180 ,"Sheriff" ,10 ,"Jim Stewart" ,"REP" ,"Total" ,1081 ,
"Box 101" ,180 ,"Sheriff" ,20 ,"Emmanuel Fultz, Sr." ,"DEM" ,"Election Day" ,62 ,
"Box 101" ,180 ,"Sheriff" ,20 ,"Emmanuel Fultz, Sr." ,"DEM" ,"Early Voting" ,438 ,
"Box 101" ,180 ,"Sheriff" ,20 ,"Emmanuel Fultz, Sr." ,"DEM" ,"EV Mail" ,107 ,
"Box 101" ,180 ,"Sheriff" ,20 ,"Emmanuel Fultz, Sr." ,"DEM" ,"Provisional" ,0 ,
"Box 101" ,180 ,"Sheriff" ,20 ,"Emmanuel Fultz, Sr." ,"DEM" ,"Total" ,607 ,
"Box 101" ,190 ,"Tax Assessor-Collector" ,10 ,"Dawn Polasek Barnett" ,"REP" ,"Election Day" ,205 ,
"Box 101" ,190 ,"Tax Assessor-Collector" ,10 ,"Dawn Polasek Barnett" ,"REP" ,"Early Voting" ,1051 ,
"Box 101" ,190 ,"Tax Assessor-Collector" ,10 ,"Dawn Polasek Barnett" ,"REP" ,"EV Mail" ,99 ,
"Box 101" ,190 ,"Tax Assessor-Collector" ,10 ,"Dawn Polasek Barnett" ,"REP" ,"Provisional" ,0 ,
