Political_subdivision,election_date,election_name,total prov ballots,total prov ballots counted,precinct_number,reg_voters,race_name,candidate_name,Party_code,early_votes,election_votes
San Patricio County,11/6/2018,General Election,,,104,1534,"Justice, Supreme Court, Place 4",R.K. Sandill,DEM,122,108
San Patricio County,11/6/2018,General Election,,,104,1534,"Justice, Supreme Court, Place 6",Jeff Brown,REP,268,137
San Patricio County,11/6/2018,General Election,,,104,1534,"Justice, Supreme Court, Place 6",Kathy Cheng,DEM,119,111
San Patricio County,11/6/2018,General Election,,,104,1534,"Presiding Judge, Court of Criminal Appeals",Sharon Keller,REP,264,143
San Patricio County,11/6/2018,General Election,,,104,1534,"Presiding Judge, Court of Criminal Appeals",Maria T. (Terri) Jackson,DEM,116,105
San Patricio County,11/6/2018,General Election,,,104,1534,"Presiding Judge, Court of Criminal Appeals",William Bryan Strange III,LIB,8,2
San Patricio County,11/6/2018,General Election,,,104,1534,"Judge, Court of Criminal Appeals, Place 7",Barbara Parker Hervey,REP,265,142
San Patricio County,11/6/2018,General Election,,,104,1534,"Judge, Court of Criminal Appeals, Place 7",Ramona Franklin,DEM,118,107
San Patricio County,11/6/2018,General Election,,,104,1534,"Judge, Court of Criminal Appeals, Place 8",Michelle Slaughter,REP,278,156
San Patricio County,11/6/2018,General Election,,,104,1534,"Judge, Court of Criminal Appeals, Place 8",Mark Ash,LIB,45,35
San Patricio County,11/6/2018,General Election,,,104,1534,"Member, State Board of Education, District No. 2","Charles ""Tad"" Hasse",REP,260,138
San Patricio County,11/6/2018,General Election,,,104,1534,"Member, State Board of Education, District No. 2","Ruben Cortez, Jr.",DEM,123,114
San Patricio County,11/6/2018,General Election,,,104,1534,"State Representative, District No. 43",J.M. Lozano,REP,265,143
San Patricio County,11/6/2018,General Election,,,104,1534,"State Representative, District No. 43",Dee Ann Torres Miller,DEM,117,105
San Patricio County,11/6/2018,General Election,,,104,1534,"Chief Justice, 13th Court of Appeals District",Ernie Aliseda,REP,261,138
San Patricio County,11/6/2018,General Election,,,104,1534,"Chief Justice, 13th Court of Appeals District",Dori Contreras,DEM,123,110
San Patricio County,11/6/2018,General Election,,,104,1534,"Justice, 13th Court of Appeals District, Place No. 2",Greg Perkes,REP,258,132
