01890041088000161   ISDEDGEEdgewood ISD Position 6                                 UNDER VOTES                                                                                  01 
01890041090000000   ISDEDGEEdgewood ISD Position 6                                 UNDER VOTES                                                                                  01 
01890041096000004   ISDEDGEEdgewood ISD Position 6                                 UNDER VOTES                                                                                  01 
01890042011000307   ISDEDGEEdgewood ISD Position 6                                 UNDER VOTES                                                                                  01 
01890042012000221   ISDEDGEEdgewood ISD Position 6                                 UNDER VOTES                                                                                  01 
01890042015000288   ISDEDGEEdgewood ISD Position 6                                 UNDER VOTES                                                                                  01 
01890042016000185   ISDEDGEEdgewood ISD Position 6                                 UNDER VOTES                                                                                  01 
01890042017000148   ISDEDGEEdgewood ISD Position 6                                 UNDER VOTES                                                                                  01 
01890042019000261   ISDEDGEEdgewood ISD Position 6                                 UNDER VOTES                                                                                  01 
01890042020000408   ISDEDGEEdgewood ISD Position 6                                 UNDER VOTES                                                                                  01 
