Hunt County,,,,,,
"November 8, 2022",,,,,,
General Election,,,,,,
214B - SQL,338,Commissioner of the General Land Office,Jay Kleberg,38,20,18
214B - SQL,338,Commissioner of the General Land Office,"Alfred Molison, Jr.",4,3,1
214B - SQL,338,Commissioner of the General Land Office,Carrie Evelyn Menger,0,0,0
214B - SQL,338,Commissioner of the General Land Office,Rejected write-ins,0,0,0
214B - SQL,338,Commissioner of the General Land Office,Unassigned write-ins,0,0,0
214B - SQL,338,Commissioner of Agriculture,Sid Miller,300,110,186
214B - SQL,338,Commissioner of Agriculture,Susan Hays,35,20,15
214B - SQL,338,Railroad Commissioner,Wayne Christian,291,106,181
214B - SQL,338,Railroad Commissioner,Luke Warford,33,19,14
214B - SQL,338,Railroad Commissioner,Jaime Andres Diez,5,2,3
214B - SQL,338,Railroad Commissioner,Hunter Wayne Crow,6,3,3
214B - SQL,338,"Justice, Supreme Court, Place 3",Debra Lehrmann,297,108,185
214B - SQL,338,"Justice, Supreme Court, Place 3",Erin A. Nowell,34,19,15
214B - SQL,338,"Justice, Supreme Court, Place 3",Thomas Edward Oxford,4,2,2
214B - SQL,338,"Justice, Supreme Court, Place 5",Rebeca Huddle,296,107,185
214B - SQL,338,"Justice, Supreme Court, Place 5",Amanda Reichek,39,22,17
214B - SQL,338,"Justice, Supreme Court, Place 9",Evan Young,295,108,183
214B - SQL,338,"Justice, Supreme Court, Place 9",Julia Maldonado,37,21,16
214B - SQL,338,"Judge, Court of Criminal Appeals Place 5",Scott Walker,299,110,185
214B - SQL,338,"Judge, Court of Criminal Appeals Place 5",Dana Huffman,36,20,16
214B - SQL,338,"Judge, Court of Criminal Appeals Place 6","Jesse F. McClure, III",295,107,184
214B - SQL,338,"Judge, Court of Criminal Appeals Place 6",Robert Johnson,36,19,17
214B - SQL,338,"Member, State Board of Education, Disrict 12",Pam Little,290,104,182
214B - SQL,338,"Member, State Board of Education, Disrict 12",Alex Cornwallis,33,18,15
214B - SQL,338,"Member, State Board of Education, Disrict 12",Christy Mowrey,6,3,3
214B - SQL,338,"Member, State Board of Education, Disrict 12",Rosiland Davis,0,0,0
214B - SQL,338,"Member, State Board of Education, Disrict 12",Rejected write-ins,0,0,0
214B - SQL,338,"Member, State Board of Education, Disrict 12",Unassigned write-ins,0,0,0
214B - SQL,338,"State Senator, District 8",Angela Paxton,287,103,180
214B - SQL,338,"State Senator, District 8",Jonathan Cocks,35,20,15
214B - SQL,338,"State Senator, District 8",Edward Kless,6,2,4
214B - SQL,338,"Justice, 5th Court of Appeals District, Place 4",Emily A. Miskel,298,109,185
214B - SQL,338,"Justice, 5th Court of Appeals District, Place 4",Maricela Moore,35,20,15
214B - SQL,338,"Justice, 5th Court of Appeals District, Place 7",Kristina Williams,298,108,186
214B - SQL,338,"Justice, 5th Court of Appeals District, Place 7",Nancy Kennedy,36,22,14
214B - SQL,338,"Hunt County, Proposition A",FOR,290,109,179
214B - SQL,338,"Hunt County, Proposition A",AGAINST,26,15,11
214B - SQL,338,"Quinlan Independent School District, Proposition A",FOR,136,46,89
214B - SQL,338,"Quinlan Independent School District, Proposition A",AGAINST,180,74,105
214B - STR,11,"United States Representative, District 4",Pat Fallon,10,6,4
214B - STR,11,"United States Representative, District 4",Iro Omere,0,0,0
214B - STR,11,"United States Representative, District 4",John Simmons,0,0,0
214B - STR,11,Governor,Greg Abbott,10,5,5
214B - STR,11,Governor,Beto O'Rourke,0,0,0
214B - STR,11,Governor,Mark Tippetts,0,0,0
214B - STR,11,Governor,Delilah Barrios,0,0,0
214B - STR,11,Governor,Jacqueline Abernathy,0,0,0
214B - STR,11,Governor,Mark V. Goloby,0,0,0
214B - STR,11,Governor,Rejected write-ins,1,1,0
214B - STR,11,Governor,Unassigned write-ins,0,0,0
214B - STR,11,Lieutenant Governor,Dan Patrick,11,6,5
214B - STR,11,Lieutenant Governor,Mike Collier,0,0,0
214B - STR,11,Lieutenant Governor,Shanna Steele,0,0,0
214B - STR,11,Attorney General,Ken Paxton,11,6,5
214B - STR,11,Attorney General,Rochelle Mercedes Garza,0,0,0
214B - STR,11,Attorney General,Mark Ash,0,0,0
214B - STR,11,Comptroller of Public Accounts,Glenn Hegar,10,5,5
214B - STR,11,Comptroller of Public Accounts,Janet T. Dudding,0,0,0
214B - STR,11,Comptroller of Public Accounts,V. Alonzo Echavarria-Garza,1,1,0
214B - STR,11,Commissioner of the General Land Office,Dawn Buckingham,11,6,5
214B - STR,11,Commissioner of the General Land Office,Jay Kleberg,0,0,0
214B - STR,11,Commissioner of the General Land Office,"Alfred Molison, Jr.",0,0,0
214B - STR,11,Commissioner of the General Land Office,Carrie Evelyn Menger,0,0,0
214B - STR,11,Commissioner of the General Land Office,Rejected write-ins,0,0,0
214B - STR,11,Commissioner of the General Land Office,Unassigned write-ins,0,0,0
214B - STR,11,Commissioner of Agriculture,Sid Miller,11,6,5
214B - STR,11,Commissioner of Agriculture,Susan Hays,0,0,0
214B - STR,11,Railroad Commissioner,Wayne Christian,11,6,5
214B - STR,11,Railroad Commissioner,Luke Warford,0,0,0
214B - STR,11,Railroad Commissioner,Jaime Andres Diez,0,0,0
214B - STR,11,Railroad Commissioner,Hunter Wayne Crow,0,0,0
214B - STR,11,"Justice, Supreme Court, Place 3",Debra Lehrmann,11,6,5
214B - STR,11,"Justice, Supreme Court, Place 3",Erin A. Nowell,0,0,0
214B - STR,11,"Justice, Supreme Court, Place 3",Thomas Edward Oxford,0,0,0
214B - STR,11,"Justice, Supreme Court, Place 5",Rebeca Huddle,10,6,4
214B - STR,11,"Justice, Supreme Court, Place 5",Amanda Reichek,0,0,0
214B - STR,11,"Justice, Supreme Court, Place 9",Evan Young,11,6,5
214B - STR,11,"Justice, Supreme Court, Place 9",Julia Maldonado,0,0,0
214B - STR,11,"Judge, Court of Criminal Appeals Place 5",Scott Walker,11,6,5
214B - STR,11,"Judge, Court of Criminal Appeals Place 5",Dana Huffman,0,0,0
214B - STR,11,"Judge, Court of Criminal Appeals Place 6","Jesse F. McClure, III",11,6,5
214B - STR,11,"Judge, Court of Criminal Appeals Place 6",Robert Johnson,0,0,0
214B - STR,11,"Member, State Board of Education, Disrict 12",Pam Little,9,5,4
214B - STR,11,"Member, State Board of Education, Disrict 12",Alex Cornwallis,0,0,0
214B - STR,11,"Member, State Board of Education, Disrict 12",Christy Mowrey,1,1,0
214B - STR,11,"Member, State Board of Education, Disrict 12",Rosiland Davis,0,0,0
214B - STR,11,"Member, State Board of Education, Disrict 12",Rejected write-ins,0,0,0
214B - STR,11,"Member, State Board of Education, Disrict 12",Unassigned write-ins,0,0,0
214B - STR,11,"State Senator, District 8",Angela Paxton,10,6,4
214B - STR,11,"State Senator, District 8",Jonathan Cocks,0,0,0
214B - STR,11,"State Senator, District 8",Edward Kless,0,0,0
214B - STR,11,"Justice, 5th Court of Appeals District, Place 4",Emily A. Miskel,9,6,3
214B - STR,11,"Justice, 5th Court of Appeals District, Place 4",Maricela Moore,0,0,0
214B - STR,11,"Justice, 5th Court of Appeals District, Place 7",Kristina Williams,10,6,4
214B - STR,11,"Justice, 5th Court of Appeals District, Place 7",Nancy Kennedy,0,0,0
214B - STR,11,"Hunt County, Proposition A",FOR,9,4,5
214B - STR,11,"Hunt County, Proposition A",AGAINST,1,1,0
214B - STR,11,"Terrell Independent School District, Proposition A",FOR,2,1,1
214B - STR,11,"Terrell Independent School District, Proposition A",AGAINST,8,4,4
215A,2802,"United States Representative, District 3",Keith Self,2093,961,1094
215A,2802,"United States Representative, District 3",Sandeep Srivastava,596,319,260
215A,2802,"United States Representative, District 3",Christopher Claytor,45,16,29
215A,2802,Governor,Greg Abbott,2117,994,1086
215A,2802,Governor,Beto O'Rourke,649,347,284
215A,2802,Governor,Mark Tippetts,23,5,18
215A,2802,Governor,Delilah Barrios,6,3,3
215A,2802,Governor,Jacqueline Abernathy,0,0,0
215A,2802,Governor,Mark V. Goloby,0,0,0
215A,2802,Governor,Rejected write-ins,2,1,1
215A,2802,Governor,Unassigned write-ins,0,0,0
215A,2802,Lieutenant Governor,Dan Patrick,2083,971,1074
215A,2802,Lieutenant Governor,Mike Collier,650,355,278
215A,2802,Lieutenant Governor,Shanna Steele,57,21,36
215A,2802,Attorney General,Ken Paxton,2076,962,1077
215A,2802,Attorney General,Rochelle Mercedes Garza,635,350,269
215A,2802,Attorney General,Mark Ash,71,32,37
215A,2802,Comptroller of Public Accounts,Glenn Hegar,2117,986,1093
215A,2802,Comptroller of Public Accounts,Janet T. Dudding,597,326,254
215A,2802,Comptroller of Public Accounts,V. Alonzo Echavarria-Garza,59,26,33
215A,2802,Commissioner of the General Land Office,Dawn Buckingham,2143,997,1108
215A,2802,Commissioner of the General Land Office,Jay Kleberg,601,328,256
215A,2802,Commissioner of the General Land Office,"Alfred Molison, Jr.",29,13,16
215A,2802,Commissioner of the General Land Office,Carrie Evelyn Menger,0,0,0
215A,2802,Commissioner of the General Land Office,Rejected write-ins,0,0,0
215A,2802,Commissioner of the General Land Office,Unassigned write-ins,0,0,0
215A,2802,Commissioner of Agriculture,Sid Miller,2135,992,1105
215A,2802,Commissioner of Agriculture,Susan Hays,628,342,269
215A,2802,Railroad Commissioner,Wayne Christian,2099,981,1081
215A,2802,Railroad Commissioner,Luke Warford,571,316,239
215A,2802,Railroad Commissioner,Jaime Andres Diez,63,26,36
215A,2802,Railroad Commissioner,Hunter Wayne Crow,28,14,13
215A,2802,"Justice, Supreme Court, Place 3",Debra Lehrmann,2108,983,1087
215A,2802,"Justice, Supreme Court, Place 3",Erin A. Nowell,610,337,256
215A,2802,"Justice, Supreme Court, Place 3",Thomas Edward Oxford,53,23,30
215A,2802,"Justice, Supreme Court, Place 5",Rebeca Huddle,2138,1003,1098
215A,2802,"Justice, Supreme Court, Place 5",Amanda Reichek,616,334,265
215A,2802,"Justice, Supreme Court, Place 9",Evan Young,2125,994,1093
215A,2802,"Justice, Supreme Court, Place 9",Julia Maldonado,637,344,276
215A,2802,"Judge, Court of Criminal Appeals Place 5",Scott Walker,2122,995,1089
215A,2802,"Judge, Court of Criminal Appeals Place 5",Dana Huffman,636,340,279
215A,2802,"Judge, Court of Criminal Appeals Place 6","Jesse F. McClure, III",2113,974,1101
215A,2802,"Judge, Court of Criminal Appeals Place 6",Robert Johnson,599,316,266
215A,2802,"Member, State Board of Education, Disrict 12",Pam Little,2063,951,1074
215A,2802,"Member, State Board of Education, Disrict 12",Alex Cornwallis,583,312,254
215A,2802,"Member, State Board of Education, Disrict 12",Christy Mowrey,70,33,37
215A,2802,"Member, State Board of Education, Disrict 12",Rosiland Davis,0,0,0
215A,2802,"Member, State Board of Education, Disrict 12",Rejected write-ins,1,0,1
215A,2802,"Member, State Board of Education, Disrict 12",Unassigned write-ins,0,0,0
215A,2802,"State Senator, District 8",Angela Paxton,2058,942,1079
215A,2802,"State Senator, District 8",Jonathan Cocks,604,324,263
215A,2802,"State Senator, District 8",Edward Kless,58,26,31
215A,2802,"Justice, 5th Court of Appeals District, Place 4",Emily A. Miskel,2127,990,1099
215A,2802,"Justice, 5th Court of Appeals District, Place 4",Maricela Moore,612,337,258
215A,2802,"Justice, 5th Court of Appeals District, Place 7",Kristina Williams,2126,989,1099
215A,2802,"Justice, 5th Court of Appeals District, Place 7",Nancy Kennedy,617,340,260
215A,2802,"Hunt County, Proposition A",FOR,2415,1140,1224
215A,2802,"Hunt County, Proposition A",AGAINST,236,119,117
215A - SGR,8,"United States Representative, District 3",Keith Self,7,7,0
215A - SGR,8,"United States Representative, District 3",Sandeep Srivastava,1,1,0
215A - SGR,8,"United States Representative, District 3",Christopher Claytor,0,0,0
215A - SGR,8,Governor,Greg Abbott,7,7,0
215A - SGR,8,Governor,Beto O'Rourke,1,1,0
215A - SGR,8,Governor,Mark Tippetts,0,0,0
215A - SGR,8,Governor,Delilah Barrios,0,0,0
215A - SGR,8,Governor,Jacqueline Abernathy,0,0,0
215A - SGR,8,Governor,Mark V. Goloby,0,0,0
215A - SGR,8,Governor,Rejected write-ins,0,0,0
215A - SGR,8,Governor,Unassigned write-ins,0,0,0
215A - SGR,8,Lieutenant Governor,Dan Patrick,7,7,0
215A - SGR,8,Lieutenant Governor,Mike Collier,1,1,0
215A - SGR,8,Lieutenant Governor,Shanna Steele,0,0,0
215A - SGR,8,Attorney General,Ken Paxton,7,7,0
215A - SGR,8,Attorney General,Rochelle Mercedes Garza,1,1,0
215A - SGR,8,Attorney General,Mark Ash,0,0,0
215A - SGR,8,Comptroller of Public Accounts,Glenn Hegar,7,7,0
215A - SGR,8,Comptroller of Public Accounts,Janet T. Dudding,1,1,0
215A - SGR,8,Comptroller of Public Accounts,V. Alonzo Echavarria-Garza,0,0,0
215A - SGR,8,Commissioner of the General Land Office,Dawn Buckingham,7,7,0
215A - SGR,8,Commissioner of the General Land Office,Jay Kleberg,1,1,0
215A - SGR,8,Commissioner of the General Land Office,"Alfred Molison, Jr.",0,0,0
215A - SGR,8,Commissioner of the General Land Office,Carrie Evelyn Menger,0,0,0
215A - SGR,8,Commissioner of the General Land Office,Rejected write-ins,0,0,0
215A - SGR,8,Commissioner of the General Land Office,Unassigned write-ins,0,0,0
215A - SGR,8,Commissioner of Agriculture,Sid Miller,7,7,0
215A - SGR,8,Commissioner of Agriculture,Susan Hays,1,1,0
215A - SGR,8,Railroad Commissioner,Wayne Christian,7,7,0
215A - SGR,8,Railroad Commissioner,Luke Warford,1,1,0
215A - SGR,8,Railroad Commissioner,Jaime Andres Diez,0,0,0
215A - SGR,8,Railroad Commissioner,Hunter Wayne Crow,0,0,0
215A - SGR,8,"Justice, Supreme Court, Place 3",Debra Lehrmann,7,7,0
215A - SGR,8,"Justice, Supreme Court, Place 3",Erin A. Nowell,1,1,0
215A - SGR,8,"Justice, Supreme Court, Place 3",Thomas Edward Oxford,0,0,0
215A - SGR,8,"Justice, Supreme Court, Place 5",Rebeca Huddle,7,7,0
215A - SGR,8,"Justice, Supreme Court, Place 5",Amanda Reichek,1,1,0
215A - SGR,8,"Justice, Supreme Court, Place 9",Evan Young,7,7,0
215A - SGR,8,"Justice, Supreme Court, Place 9",Julia Maldonado,1,1,0
215A - SGR,8,"Judge, Court of Criminal Appeals Place 5",Scott Walker,7,7,0
215A - SGR,8,"Judge, Court of Criminal Appeals Place 5",Dana Huffman,1,1,0
215A - SGR,8,"Judge, Court of Criminal Appeals Place 6","Jesse F. McClure, III",7,7,0
215A - SGR,8,"Judge, Court of Criminal Appeals Place 6",Robert Johnson,1,1,0
215A - SGR,8,"Member, State Board of Education, Disrict 12",Pam Little,7,7,0
215A - SGR,8,"Member, State Board of Education, Disrict 12",Alex Cornwallis,1,1,0
215A - SGR,8,"Member, State Board of Education, Disrict 12",Christy Mowrey,0,0,0
215A - SGR,8,"Member, State Board of Education, Disrict 12",Rosiland Davis,0,0,0
215A - SGR,8,"Member, State Board of Education, Disrict 12",Rejected write-ins,0,0,0
215A - SGR,8,"Member, State Board of Education, Disrict 12",Unassigned write-ins,0,0,0
215A - SGR,8,"State Senator, District 8",Angela Paxton,7,7,0
215A - SGR,8,"State Senator, District 8",Jonathan Cocks,1,1,0
215A - SGR,8,"State Senator, District 8",Edward Kless,0,0,0
215A - SGR,8,"Justice, 5th Court of Appeals District, Place 4",Emily A. Miskel,7,7,0
215A - SGR,8,"Justice, 5th Court of Appeals District, Place 4",Maricela Moore,1,1,0
215A - SGR,8,"Justice, 5th Court of Appeals District, Place 7",Kristina Williams,7,7,0
215A - SGR,8,"Justice, 5th Court of Appeals District, Place 7",Nancy Kennedy,1,1,0
215A - SGR,8,"Hunt County, Proposition A",FOR,4,4,0
215A - SGR,8,"Hunt County, Proposition A",AGAINST,4,4,0
215A - SGR,8,"GREENVILLE ISD, PROPOSITION A",FOR,3,3,0
215A - SGR,8,"GREENVILLE ISD, PROPOSITION A",AGAINST,5,5,0
215A - SQL,0,"United States Representative, District 3",Keith Self,0,0,0
215A - SQL,0,"United States Representative, District 3",Sandeep Srivastava,0,0,0
215A - SQL,0,"United States Representative, District 3",Christopher Claytor,0,0,0
215A - SQL,0,Governor,Greg Abbott,0,0,0
215A - SQL,0,Governor,Beto O'Rourke,0,0,0
215A - SQL,0,Governor,Mark Tippetts,0,0,0
215A - SQL,0,Governor,Delilah Barrios,0,0,0
215A - SQL,0,Governor,Jacqueline Abernathy,0,0,0
215A - SQL,0,Governor,Mark V. Goloby,0,0,0
215A - SQL,0,Governor,Rejected write-ins,0,0,0
215A - SQL,0,Governor,Unassigned write-ins,0,0,0
215A - SQL,0,Lieutenant Governor,Dan Patrick,0,0,0
215A - SQL,0,Lieutenant Governor,Mike Collier,0,0,0
215A - SQL,0,Lieutenant Governor,Shanna Steele,0,0,0
215A - SQL,0,Attorney General,Ken Paxton,0,0,0
215A - SQL,0,Attorney General,Rochelle Mercedes Garza,0,0,0
215A - SQL,0,Attorney General,Mark Ash,0,0,0
215A - SQL,0,Comptroller of Public Accounts,Glenn Hegar,0,0,0
215A - SQL,0,Comptroller of Public Accounts,Janet T. Dudding,0,0,0
215A - SQL,0,Comptroller of Public Accounts,V. Alonzo Echavarria-Garza,0,0,0
215A - SQL,0,Commissioner of the General Land Office,Dawn Buckingham,0,0,0
215A - SQL,0,Commissioner of the General Land Office,Jay Kleberg,0,0,0
215A - SQL,0,Commissioner of the General Land Office,"Alfred Molison, Jr.",0,0,0
215A - SQL,0,Commissioner of the General Land Office,Carrie Evelyn Menger,0,0,0
215A - SQL,0,Commissioner of the General Land Office,Rejected write-ins,0,0,0
215A - SQL,0,Commissioner of the General Land Office,Unassigned write-ins,0,0,0
215A - SQL,0,Commissioner of Agriculture,Sid Miller,0,0,0
215A - SQL,0,Commissioner of Agriculture,Susan Hays,0,0,0
215A - SQL,0,Railroad Commissioner,Wayne Christian,0,0,0
215A - SQL,0,Railroad Commissioner,Luke Warford,0,0,0
215A - SQL,0,Railroad Commissioner,Jaime Andres Diez,0,0,0
215A - SQL,0,Railroad Commissioner,Hunter Wayne Crow,0,0,0
215A - SQL,0,"Justice, Supreme Court, Place 3",Debra Lehrmann,0,0,0
215A - SQL,0,"Justice, Supreme Court, Place 3",Erin A. Nowell,0,0,0
215A - SQL,0,"Justice, Supreme Court, Place 3",Thomas Edward Oxford,0,0,0
215A - SQL,0,"Justice, Supreme Court, Place 5",Rebeca Huddle,0,0,0
215A - SQL,0,"Justice, Supreme Court, Place 5",Amanda Reichek,0,0,0
215A - SQL,0,"Justice, Supreme Court, Place 9",Evan Young,0,0,0
215A - SQL,0,"Justice, Supreme Court, Place 9",Julia Maldonado,0,0,0
215A - SQL,0,"Judge, Court of Criminal Appeals Place 5",Scott Walker,0,0,0
215A - SQL,0,"Judge, Court of Criminal Appeals Place 5",Dana Huffman,0,0,0
215A - SQL,0,"Judge, Court of Criminal Appeals Place 6","Jesse F. McClure, III",0,0,0
215A - SQL,0,"Judge, Court of Criminal Appeals Place 6",Robert Johnson,0,0,0
215A - SQL,0,"Member, State Board of Education, Disrict 12",Pam Little,0,0,0
215A - SQL,0,"Member, State Board of Education, Disrict 12",Alex Cornwallis,0,0,0
215A - SQL,0,"Member, State Board of Education, Disrict 12",Christy Mowrey,0,0,0
215A - SQL,0,"Member, State Board of Education, Disrict 12",Rosiland Davis,0,0,0
